,parm_cd,agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,parameter_group_nm,parameter_nm,casrn,srsname,parameter_units
23601,10,USGS,11390000,BUTTE C NR CHICO CA,ST,39.72599524,-121.7088643,F,NAD83,NA,NA,NA,18020105,uv,NA,15652,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
796,10,USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,dv,3,37081,NA,wat,NA,1645597,0,5/28/2010,7/8/2017,2535,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
1048,10,USGS,2419890,TALLAPOOSA RIVER NEAR MONT.-MONT. WATER WORKS,ST,32.43985898,-86.1955222,U,NAD83,129.13,0.01,NGVD29,3150110,uv,NA,2902,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
1124,10,USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,dv,2,37080,NA,wat,NA,1645597,0,5/28/2010,7/8/2017,2539,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
1349,10,USGS,2423160,CAHABA RIVER NEAR WHITES CHAPEL AL,ST,33.60371416,-86.5491517,U,NAD83,NA,NA,NA,3150202,uv,NA,2932,NA,wat,NA,1645597,0,8/9/2011,7/8/2017,2160,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
1491,10,USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,dv,1,37079,NA,wat,NA,1645597,0,5/28/2010,7/8/2017,2544,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
1941,10,USGS,2455980,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,ST,33.71121273,-86.6961013,U,NAD83,501.69,0.01,NGVD29,3160111,uv,NA,3035,NA,wat,NA,1645597,0,10/1/2007,7/8/2017,3568,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
2113,10,USGS,23432415,"CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA",ST,31.62138889,-85.06,S,NAD83,0,0.1,NGVD29,3130004,uv,NA,39884,NA,wat,NA,1645597,0,5/28/2010,7/8/2017,2598,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
2187,10,USGS,2457595,"FIVEMILE CREEK NEAR REPUBLIC, AL",ST,33.5970492,-86.8680483,U,NAD83,NA,NA,NA,3160111,uv,NA,3045,NA,wat,NA,1645597,0,10/4/2007,7/8/2017,3565,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
2404,10,USGS,2461130,"VALLEY CREEK AT CENTER ST AT BIRMINGHAM, AL",ST,33.5057722,-86.8364556,1,NAD83,553,1.6,NAVD88,3160112,uv,NA,167978,NA,wat,NA,1645597,0,1/13/2017,7/8/2017,176,Physical,"Temperature, water, degrees Celsius",NA,"Temperature, water",deg C
