"","parm_cd","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu","parameter_group_nm","parameter_nm","casrn","srsname","parameter_units"
"13562","00010","USGS","11126000","SANTA YNEZ R NR SANTA YNEZ CA","ST",34.5891552,-119.9887532,"F","NAD83"," 545.66",".05","NGVD29","18060010","dv","00001",8510,NA,"wat",NA,1645597,0,1994-07-27,2017-07-08,6179,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13687","00010","USGS","11303000","STANISLAUS R A RIPON CA","ST",37.72965078,-121.1104934,"S","NAD83"," 0.72",".01","NGVD29","18040002","dv","00002",9831,NA,"wat",NA,1645597,0,1985-07-01,2017-07-08,9391,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13755","00010","USGS","10265150","HOT C A FLUME NR MAMMOTH LAKES CA","ST",37.66882166,-118.8176312,"F","NAD83"," 6950.00","  5","NGVD29","18090102","dv","00002",7378,NA,"wat",NA,1645597,0,1983-07-07,2017-07-08,7220,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13790","00010","USGS","11162753","SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA","ST",37.52944444,-122.3583333,"S","NAD83"," 160","12.","NGVD29","18050004","uv",NA,14733,NA,"wat",NA,1645597,0,2008-09-12,2017-07-08,3221,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13932","00010","USGS","11463980","RUSSIAN R A DIGGER BEND NR HEALDSBURG CA","ST",38.6329653,-122.8555494,"F","NAD83",NA,NA,NA,"18010110","uv",NA,16358,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"13943","00010","USGS","11204100","SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA","ST",36.02411648,-118.8134258,"S","NAD83"," 970"," 20","NGVD29","18030006","uv",NA,14929,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"14116","00010","USGS","11044000","SANTA MARGARITA R NR TEMECULA CA","ST",33.4739175,-117.1422536,"F","NAD83"," 950.00"," 17","NGVD29","18070302","uv",NA,14080,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"14143","00010","USGS","11274790","TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY","ST",37.9165884,-119.6598938,"S","NAD83"," 3830"," 20","NGVD29","18040009","uv",NA,15039,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"14146","00010","USGS","11303000","STANISLAUS R A RIPON CA","ST",37.72965078,-121.1104934,"S","NAD83"," 0.72",".01","NGVD29","18040002","uv",NA,15162,NA,"wat",NA,1645597,0,2007-10-01,2017-07-08,3568,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"14224","00010","USGS","11276900","TUOLUMNE R BL EARLY INTAKE NR MATHER CA","ST",37.8815908,-119.9701824,"F","NAD83",NA,NA,NA,"18040009","dv","00001",9646,NA,"wat",NA,1645597,0,2006-06-02,2017-07-08,3988,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
"14873","00010","USGS","11455140","TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA","ST",38.34916667,-121.6447222,"5","NAD83",NA,NA,NA,"18020163","uv",NA,209967,"[BGC Project]","wat",NA,1645597,0,2017-03-10,2017-07-08,120,"Physical","Temperature, water, degrees Celsius",NA,"Temperature, water","deg C"
