"","COMID","GageID"
"89",17600477,"11143200"
"90",17693217,"11164500"
"91",17694137,"11169025"
"92",2805109,"11180700"
"93",2806725,"11179000"
"94",2804929,"11181040"
"95",2803983,"11181000"
"96",17684066,"11161000"
"97",17682474,"11160500"
"98",17695611,"11172175"
"99",2806865,"11173575"
"100",2806979,"11173510"
"101",2809859,"11173200"
"102",2806611,"11176900"
"103",2808553,"11176500"
"104",17604479,"11152650"
"105",17694891,"11169800"
"106",2806807,"11176400"
"107",17663281,"11159000"
"108",948060250,"11153650"
"109",17663521,"11158600"
"110",17663805,"11157500"
"111",17663037,"11153000"
"112",2828012,"11274500"
"113",2827982,"11274630"
"114",1897416,"11303500"
"115",2819818,"11303000"
"116",19771455,"11261500"
"117",19777307,"11261100"
"118",2829236,"11273400"
"119",2828044,"11274550"
"120",2829226,"11274000"
"121",2827158,"11274538"
"122",2823972,"11290000"
"123",2823750,"11289650"
"124",19784451,"11255575"
"125",19784319,"11254000"
"126",19791955,"11251000"
"127",21609641,"11266500"
"128",8915857,"10293000"
"129",946050152,"10296500"
"130",10744424,"10296000"
"131",21609533,"11264500"
"132",17081597,"11274790"
"133",8922715,"10308200"
"134",17081559,"11276500"
"135",17082145,"11276900"
"136",17081431,"11277300"
"137",17081409,"11278000"
"138",17082139,"11278300"
"139",17081685,"11278400"
"140",17082195,"11277100"
"141",20192498,"11335000"
"142",948021150,"11446500"
"143",15039097,"11425500"
"144",15048349,"11447650"
"145",15030099,"11452500"
"146",15033009,"11454000"
"147",1669113,"11458000"
"148",1670127,"11456000"
"149",8273645,"11466200"
"150",8273161,"11466800"
"151",8273639,"11466320"
"152",8272685,"11465390"
"153",8272379,"11464000"
"154",8272297,"11463980"
"155",8272211,"11463682"
"156",8272107,"11463500"
"157",8272363,"11465350"
"158",8272125,"11465200"
"159",8271049,"11467200"
"160",8272725,"11467000"
"161",5329511,"11460600"
"162",2665613,"11468000"
"163",2665525,"11468500"
"164",8280869,"11467510"
"165",8295207,"11473900"
"166",8268521,"11462080"
"167",8269099,"11461000"
"168",8271875,"11463200"
"169",8271445,"11463000"
"170",8269119,"11462500"
"171",8269091,"11461500"
"172",8005975,"11451100"
"173",8009269,"11451000"
"174",8007863,"11451300"
"175",8015823,"11453500"
"176",8009213,"11451715"
"177",24688709,"11389500"
"178",2851625,"11390500"
"179",1680009,"11390000"
"180",7981844,"11421000"
"181",948020363,"11424000"
"182",8061235,"11418500"
"183",8058675,"11413000"
"184",14996611,"11427000"
"185",8933958,"10338000"
"186",8933532,"10346000"
